product_name,filename,link,type,appliedVariationProduct,applicableRegion,description
,,,['ce'],"['X5', 'X5-Combo', 'X5-IT', 'X5-DE']",['UK'],
,,,['ncc'],"['X5', 'X5-Combo', 'X5-IT', 'X5-DE']",['TW'],
,,,['msds'],"['X5-Combo', 'X5', 'X5-IT', 'X5-DE']",['UK'],for Amazon UK Hazmat Review (signed)
,,,['insurance'],"['X5-DE', 'X5-IT', 'X5-Combo', 'X5']","['CA', 'DE', 'ES', 'FR', 'IT', 'TW', 'UK', 'US']",產品責任險保險證
,,,,['16309-30-09'],['UK'],laundry label
,,https://www.youtube.com/watch?v=HlcWfeymE_s,['marketingVideo'],[],"['CA', 'IT', 'DE', 'TW', 'ES', 'UK', 'FR', 'US']",
,,,['bluetooth'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ce'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ce'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ce'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ce'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ncc'],"['TC001S-S-1B', 'TC001S-S-1W']",['TW'],
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ncc'],"['TC001S-S-1B', 'TC001S-S-1W']",['TW'],
,,,['OtherReferenceMaterialOther'],['K423-1E'],[],條碼貼紙
,,,['ce'],"['MOZB100OR02A', 'MOZB100PK02A', 'MOZB100IB02A']",[],
,,,"['fcc', 'msds', 'bluetooth']","['MOZB100OR02A', 'MOZB100PK02A', 'MOZB100IB02A']",[],
,,,['OtherReferenceMaterialOther'],"['MOZB100OR02A', 'MOZB100PK02A', 'MOZB100IB02A']",[],
,,,['OtherReferenceMaterialOther'],"['MOZB100OR02A', 'MOZB100PK02A', 'MOZB100IB02A']",[],
,,,['umFile'],['K423-2A'],['US'],製作檔
,,,['umFile'],['K423-2A'],[],印刷檔
,,,['fcc'],"['PL-1000B', 'PL-1000']",['US'],1000型號的FCC
,,,['ce'],"['PL-1000B', 'PL-1000']","['UK', 'IT', 'FR', 'DE', 'ES']",1000型號的CE
,,,['specificationTable'],"['PL-1000B', 'PL-1000', 'PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL']","['UK', 'ES', 'DE', 'CA', 'IT', 'FR', 'US', 'TW']",Sales Kit
,,,['OtherReferenceMaterialOther'],"['PL-1000B', 'PL-1000', 'PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL']","['CA', 'FR', 'US', 'IT', 'DE', 'ES', 'TW', 'UK']",產品測試報告
,,,['umFile'],"['PL-1000B', 'PL-1000']","['TW', 'US', 'UK']",
,,,['umFile'],"['PL-1000B', 'PL-1000']",[],說明書編輯檔
,,,['fcc'],"['PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL', 'PL-1000Plus-SV']",['US'],1000Plus的FCC
,,,['ce'],"['PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL', 'PL-1000Plus-SV']","['UK', 'DE', 'ES', 'IT', 'FR']",1000Plus的CE
,,,['umFile'],"['PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL', 'PL-1000Plus-SV']",['US'],PL-1000Plus說明書
,,,['fda'],['C-10303'],[],
,,,['msds'],['C-10303'],[],
,,,"['complianceOther', 'OtherReferenceMaterialOther']","['S-610W', 'S-610B']","['US', 'UK']",CB report
,,,['OtherReferenceMaterialOther'],"['S-610W', 'S-610B']",[],Test report
,,,['productPackageDesign'],"['S-610W', 'S-610B']",[],產品包裝
,,,['productPackageDesign'],"['S-610W', 'S-610B']",[],產品包裝上的彩貼
,,,['rohs'],"['S-610W', 'S-610B']",['UK'],
,,,['ce'],"['S-610W', 'S-610B']",['UK'],
,,,"['specificationTable', 'OtherReferenceMaterialOther']","['S-610W', 'S-610B']",[],
,,http://database.ul.com/cgi-bin/XYV/template/LISEXT/1FRAME/gfilenbr.html,['complianceOther'],"['S-610W', 'S-610B']","['US', 'CA']",UL
,,,['fcc'],"['S-610W', 'S-610B']",['US'],
,,,['fcc'],"['S-610W', 'S-610B']",['US'],
,,https://www.youtube.com/watch?v=HlcWfeymE_s,['marketingVideo'],[],"['CA', 'IT', 'DE', 'UK', 'FR', 'US', 'ES', 'TW']",https://www.youtube.com/watch?v=HlcWfeymE_s
,,,['complianceOther'],[''],[],
,,,['msds'],"['7CAS-002-BK1', '7CAS-002-RE1', '7CAS-002-BR1', '7CAS-001-BK', '7CAS-001-RE', '7CAS-001-BR', '7CAS-004-BK', '7CAS-004-BR']",[],
,,,['complianceOther'],"['7CAS-002-BK1', '7CAS-002-RE1', '7CAS-002-BR1', '7CAS-001-BK', '7CAS-001-RE', '7CAS-001-BR', '7CAS-004-BK', '7CAS-004-BR']",[],
,,,['ce'],"['7CAS-002-BK1', '7CAS-002-RE1', '7CAS-002-BR1', '7CAS-001-BK', '7CAS-001-RE', '7CAS-001-BR', '7CAS-004-BK', '7CAS-004-BR']",[],
,,,['fcc'],"['7CAS-002-BK1', '7CAS-002-RE1', '7CAS-002-BR1', '7CAS-001-BK', '7CAS-001-RE', '7CAS-001-BR', '7CAS-004-BK', '7CAS-004-BR']",[],
,,,['specificationTable'],"['7CAS-002-BK1', '7CAS-002-RE1', '7CAS-002-BR1', '7CAS-001-BK', '7CAS-001-RE', '7CAS-001-BR', '7CAS-004-BK', '7CAS-004-BR']",[],
,,,['OtherReferenceMaterialOther'],"['7CAS-002-BK1', '7CAS-002-RE1', '7CAS-002-BR1', '7CAS-001-BK', '7CAS-001-RE', '7CAS-001-BR', '7CAS-004-BK', '7CAS-004-BR']",[],觸控筆特性表
,,,['specificationTable'],"['7CAS-002-BK1', '7CAS-002-RE1', '7CAS-002-BR1', '7CAS-001-BK', '7CAS-001-RE', '7CAS-001-BR', '7CAS-004-BK', '7CAS-004-BR']",[],觸控筆規格表
,,,['fda'],['6FY006CO-F'],[],
,,,['msds'],['6FY006CO-F'],[],
,,,['OtherReferenceMaterialOther'],['6FY006CO-F'],[],
,,,['msds'],['PLB-202'],[],
,,,['fda'],['FN-003AH'],[],
,,,['msds'],['FN-003AH'],[],
,,,,['FN-003AH'],[],
,,,['fda'],['FN-003AF'],[],
,,,['msds'],['FN-003AF'],[],
,,,,['FN-003AF'],[],
,,,,"['15106-86-00', '15106-93-00', '15106-99-00']",['UK'],laundry label
,,,['productPackageDesign'],['VE1090-101'],['US'],
,,https://drive.google.com/drive/folders/1qvKoZnky0wlq-SIRWu4Ixy1QTxhjboJx,['marketingVideo'],['VE1090-101'],['US'],行銷資料簡報檔
,,,['complianceOther'],['K488-PLUG100'],['TW'],BSMI 符合性聲明指定代碼
,,,['complianceOther'],['K488-PLUG100'],['TW'],CNS 14336-1 測試報告
,,,['complianceOther'],['K488-PLUG100'],['TW'],NCC 形式認證
,,,['ce'],['K488-PLUG100'],['UK'],
,,,['complianceOther'],['K488-PLUG100'],['UK'],EN 300 328 V1.8.1 (requirement of the R&TTE Directive for effective use of the radio spectrum for wideband transmission systems)
,,,['fcc'],['K488-PLUG100'],['US'],
,,,['complianceOther'],['K488-PLUG100'],['UK'],EN 62311:2008 (Human Exposure Restrictions For Electromagnetic Fields (0 Hz - 300 Ghz))
,,,['fcc'],[''],['US'],
,,,['fda'],"['504-BK-L', '504-BK-M', '504-BK-S', '504-BK-XL']",[],
,,,['ce'],['RIH6006-DE'],[],CE送件證明（尚未通過）
,,https://drive.google.com/drive/folders/1l-qCVJPyww_gyaCrQTO6kxlqDP6FocGc,['umFile'],['RIH6006-DE'],"['UK', 'DE', 'FR']",
,,https://drive.google.com/drive/folders/19dhjo1D7wbslc0Gnk0pUMF6h_TPjiITk,['umFile'],['RIH6006-DE'],"['UK', 'DE', 'FR']",
,,,['fda'],['TD-8255B'],['US'],
,,http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K151024,['fda'],['TD-8255B'],['US'],FDA: 510(k) Premarket Notification
,,,['msds'],['TD-8255B'],"['CA', 'DE', 'ES', 'FR', 'IT', 'TW', 'UK', 'US']",product MSDS
,,,['complianceOther'],['TD-8255B'],['TW'],TW 醫療器材許可證(以初期的Brand name: Vtrust申請)
,,,['complianceOther'],['TD-8255B'],['TW'],TW 醫療器材許可證(以初期的Brand name: Vtrust申請)
,,,['ce'],['TD-8255B'],"['ES', 'UK', 'DE', 'IT', 'FR']",
,,,['bluetooth'],['TD-8255B'],[],
,,,['complianceOther'],['TD-8255B'],[],ISO 9001
,,https://docs.google.com/document/d/1IgiIBaChdjJnlpB6Bg_tSqHQ2BfJCrIW7MR6CCxwWY8/edit,['umLink'],"['A717IP7CRGLD-AB', 'A717IP7BKGLD-AB', 'A717IP7HPGLD-AB', 'A727IP7PCRGLD-AB', 'A727IP7PBKGLD-AB', 'A727IP7PHPGLD-AB', 'A828IPXCR-AB', 'A828IPXBK-AB', 'A828IPXHP-AB', 'A828IPXCRGLD-AB', 'A828IPXBKGLD-AB', 'A828IPXHPGLD-AB']",['US'],修改後的使用說明
,,https://drive.google.com/drive/folders/1Puy9rDCk-qBAcwzV2UnzhZpMH5FgJP3o,['OtherReferenceMaterialOther'],"['A717IP7CRGLD-AB', 'A717IP7BKGLD-AB', 'A717IP7HPGLD-AB', 'A727IP7PCRGLD-AB', 'A727IP7PBKGLD-AB', 'A727IP7PHPGLD-AB', 'A828IPXCR-AB', 'A828IPXBK-AB', 'A828IPXHP-AB', 'A828IPXCRGLD-AB', 'A828IPXBKGLD-AB', 'A828IPXHPGLD-AB']",['TW'],特色說明圖
,,,['rohs'],"['9U104000007-01', '9U104000005-01', '9U104000003-01']","['UK', 'US']",
,,,['ce'],"['9U104000007-01', '9U104000005-01', '9U104000003-01']","['UK', 'US']",
,,,['reach'],"['9U104000007-01', '9U104000005-01', '9U104000003-01']","['US', 'UK']",
,,,['productPackageDesign'],"['9U104000007-01', '9U104000005-01', '9U104000003-01']","['US', 'UK']",
,,,['umFile'],"['9U104000007-01', '9U104000005-01', '9U104000003-01']","['US', 'UK']",英文說明書
,,,['umFile'],"['9U104000007-01', '9U104000005-01', '9U104000003-01']",[],簡體說明書
,,,['umFile'],"['9U104000007-01', '9U104000005-01', '9U104000003-01']",['TW'],繁體說明書
,,,['msds'],['TD-2555'],"['CA', 'IT', 'DE', 'TW', 'ES', 'UK', 'FR', 'US']",
,,,['ce'],['TD-2555'],"['UK', 'DE', 'ES', 'FR', 'IT']",
,,http://purelandbeauty.com/balance-cleansing-dew/,,[''],[],
,,,['msds'],['PLB-101'],[],
,,,['umFile'],['BP-K486-BAL'],[],
,,,['umFile'],['BP-K486-BAL'],[],
,,,['umFile'],['BP-K486-BAL'],[],
,,,['umFile'],['BP-K486-BAL'],[],
,,,,[''],[],
,,,,['SAB006'],[],
,,,,['SAB006'],[],
,,,['OtherReferenceMaterialOther'],['SAB006'],['US'],
,,,['msds'],['SAB006'],[],
,,,,['STD003'],[],
,,,,['STD003'],[],
,,,,['STD003'],[],
,,,['OtherReferenceMaterialOther'],['STD003'],[],
,,,['msds'],['STD003'],[],
,,,['fda'],['6FY006CO-M'],[],
,,,['msds'],['6FY006CO-M'],[],
,,,,['6FY006CO-M'],[],
,,,['fda'],['FN-004AH'],[],
,,,['msds'],['FN-004AH'],[],
,,,['OtherReferenceMaterialOther'],['FN-004AH'],[],
,,,['fda'],['FN-004AF'],[],
,,,['msds'],['FN-004AF'],[],
,,,,['FN-004AF'],[],
,,,['msds'],['DL1AA020001T'],[],
,,,,['STI004A'],[],
,,,,['STI004A'],[],
,,,,['STI004A'],[],
,,,['msds'],['STI004A'],[],
,,,['productPackageDesign'],"['VE1070-101', 'VE1070-102', 'VE1070-103', 'VE1070-104']",['US'],
,,https://drive.google.com/drive/folders/1qvKoZnky0wlq-SIRWu4Ixy1QTxhjboJx,['marketingVideo'],"['VE1070-101', 'VE1070-102', 'VE1070-103', 'VE1070-104']",['US'],行銷資料簡報檔
,,http://www.gloryspa.com.tw/front/bin/ptdetail.phtml?Part=44&Category=123704,,[''],[],
,,,,['STU014'],[],
,,,,['STU014'],[],
,,,['msds'],['STU014'],[],
,,,['rohs'],"['UC-K', 'UC-W']",[],
,,,['fcc'],"['UC-K', 'UC-W']",[],
,,,,"['UC-K', 'UC-W']",[],
,,,,"['UC-K', 'UC-W']",[],
,,,['bluetooth'],['TD-3140B'],"['US', 'UK', 'TW']",
,,,['ce'],['TD-3140B'],['UK'],
,,,['complianceOther'],['TD-3140B'],['UK'],EN 60601-1-2 : 2007/AC:2010 CISPR 11 : 2009+A1:2010 IEC 60601-1-2 : 2007 IEC 61000-4-2 : 2008 IEC 61000-4-3 : 2006+A1:2007+A2:2010 IEC 61000-4-8 : 2009
,,,['fcc'],['TD-3140B'],['US'],
,,,['complianceOther'],['TD-3140B'],['UK'],BS EN 62479:2010 Assessment of the compliance of low power electronic and electrical equipment with the basic restrictions related to human exposure to electromagnetic fields (10 MHz to 300 GHz)
,,,['complianceOther'],['TD-3140B'],[],IEC 60601-1 medical electrical equipment
,,,['complianceOther'],['TD-3140B'],[],IEC 60601-1-11 MEDICAL ELECTRICAL EQUIPMENT
,,,['complianceOther'],['TD-3140B'],"['TW', 'US', 'UK']",
,,,['complianceOther'],['TD-3140B'],['TW'],
,,,['complianceOther'],['TD-3140B'],['TW'],醫療器材許可證
,,,['umFile'],['TD-3140B'],['US'],
,,,['umFile'],['TD-3140B'],['US'],
,,,['umFile'],['TD-3140B'],['US'],
,,,['fda'],['TD-3140B'],['US'],
,,,['fda'],['TD-3140B'],['US'],
,,,['insurance'],['TD-3140B'],"['CA', 'DE', 'ES', 'FR', 'IT', 'TW', 'UK', 'US']",
,,,['insurance'],['TD-3140B'],"['CA', 'DE', 'ES', 'FR', 'IT', 'TW', 'UK', 'US']",
,,,['complianceOther'],['TD-3140B'],[],ISO 9001
,,http://www.gloryspa.com.tw/front/bin/ptdetail.phtml?Part=37&Category=123704,,[''],"['TW', 'US']",
,,,,['SUG007'],[],
,,,['OtherReferenceMaterialOther'],['SUG007'],[],
,,,['msds'],['SUG007'],[],
,,,['complianceOther'],['CUBE100'],['TW'],BSMI
,,,['complianceOther'],['CUBE100'],['TW'],BSMI
,,,['complianceOther'],['CUBE100'],['TW'],BSMI
,,,['complianceOther'],['CUBE100'],['US'],CB and UL
,,,['complianceOther'],['CUBE100'],['US'],CB and UL
,,,['complianceOther'],['CUBE100'],['US'],CB and UL
,,,['complianceOther'],['CUBE100'],['US'],CB and UL
,,,['fcc'],['CUBE100'],['US'],FCC
,,,['fcc'],['CUBE100'],['US'],FCC
,,,['fcc'],['CUBE100'],['US'],FCC
,,,['fcc'],['CUBE100'],['US'],FCC ID and FCC Part 15C
,,,['fcc'],['CUBE100'],['US'],FCC ID and FCC Part 15C
,,,['fcc'],['CUBE100'],['US'],FCC ID and FCC Part 15C
,,,['fcc'],['CUBE100'],['US'],FCC ID and FCC Part 15C
,,,['fcc'],['CUBE100'],['US'],FCC ID and FCC Part 15C
,,,['fcc'],['CUBE100'],['US'],FCC ID and FCC Part 15C
,,,['fcc'],['CUBE100'],['US'],FCC ID and FCC Part 15C
,,,['complianceOther'],['CUBE100'],['TW'],NCC and PSE
,,,['complianceOther'],['CUBE100'],['TW'],NCC and PSE
,,,['complianceOther'],['CUBE100'],[],Telec for Japan
,,,['complianceOther'],['CUBE100'],[],Telec for Japan
,,,['complianceOther'],['CUBE100'],[],Telec for Japan
,,,['complianceOther'],['CUBE100'],[],
,,,['umFile'],['CUBE100'],[],
,,,['rohs'],['major813'],"['US', 'FR', 'CA', 'DE', 'IT', 'TW', 'ES', 'UK']",
,,,['fcc'],['major813'],['US'],
,,,['ce'],['major813'],"['FR', 'DE', 'ES', 'IT', 'UK']",
,,https://drive.google.com/drive/folders/1KRKTXPq2hX4_GMI910FE7r1sP8Pn8BOV,['complianceOther'],['major813'],[],木盒材質說明
,,,['fcc'],['KAV-S7Q'],['US'],FCC certificate
,,,['fcc'],['KAV-S7Q'],['US'],FCC test report
,,,['complianceOther'],['KAV-S7Q'],[],QC2.0 certificate
,,,['complianceOther'],['KAV-S7Q'],[],QC2.0 test report
,,,['umFile'],['KAV-S7Q'],[],User Reference Guide
,,,['complianceOther'],['KAV-S7Q'],[],電源UL report
,,,['complianceOther'],['KAV-S7Q'],[],電源UL certificate
,,,['productPackageDesign'],['KAV-S7Q'],[],Package Labeling
,,,['productPackageDesign'],['KAV-S7Q'],[],Product Labeling
,,,['umFile'],['KAV-S7Q'],[],User Reference Guide
,,,['OtherReferenceMaterialOther'],['KAV-S7Q'],[],包裝指導
,,,['OtherReferenceMaterialOther'],['KAV-S7Q'],[],支援Quick Charge的裝置表
,,https://myviida.com/product/souffle-plate/,['fda'],"['', 'A0110202', 'A0110206', 'A0110201']",['US'],
,,,['fda'],"['A0110202', 'A0110206', 'A0110201']",['US'],
,,,['complianceOther'],"['A0110202', 'A0110206', 'A0110201']",['US'],CPSC
,,,['umFile'],['K5-2C'],['UK'],
,,,['umFile'],['K5-2C'],[],
,,,['umFile'],['K5-2C'],[],
,,,['umFile'],['K5-2C'],[],
,,,['productPackageDesign'],"['K5-2', 'K5-2C']",[],
,,,['productPackageDesign'],"['K5-2', 'K5-2C']",[],
,,,['productPackageDesign'],"['K5-2', 'K5-2C']",[],
,,,['OtherReferenceMaterialOther'],['K5-2C'],[],條碼貼紙
,,http://database.ul.com/cgi-bin/XYV/template/LISEXT/1FRAME/gfilenbr.html,['complianceOther'],"['S-610PB', 'S-610PW']",['US'],UL認證
,,,['umFile'],"['010101', '010102', '010103', '010104', '010105', '010106']",['US'],盒內說明書
,,,['productPackageDesign'],"['010101', '010102', '010103', '010104', '010105', '010106']",[],Labeling - 外盒及瓶上貼標圖片（文字見編號3）
,,https://docs.google.com/document/d/1qMC4njTYNYfdonaqIc_TNGZb7ahszmzVwcjcjSdR638/edit,['productPackageDesign'],"['010101', '010102', '010103', '010104', '010105', '010106']",[],Labeling - 文字
,,https://drive.google.com/drive/folders/0Bw57ghHK7C1iNUdZdVYwUTV0VjA,['OtherReferenceMaterialOther'],"['010101', '010102', '010103', '010104', '010105', '010106']",[],按摩功能圖-寫文稿可參考
,,https://docs.google.com/document/d/1ihfT1hpxitLqTPbptdSTQGfWk-tgEkvypkom9DX6jAs/edit,['umLink'],"['010101', '010102', '010103', '010104', '010105', '010106']",[],編號1的文字
,,,['fcc'],"['KEP06-5012-A4024BNA', 'KEP06-5012-A4024WNA', 'KEP08-5012-A4024BNA', 'KEP08-5012-A4024WNA', 'KEP10-5012-A4024BNA', 'KEP10-5012-A4024WNA', 'KEP12-5012-A4024BNA', 'KEP12-5012-A4024WNA', 'KEP16-5012-A4024BNA', 'KEP16-5012-A4024WNA', 'KEP18-5012-A4024BNA', 'KEP18-5012-A4024WNA', 'KEP22-5012-A4024BNA', 'KEP22-5012-A4024WNA']",['US'],FCC認證
,,,['umFile'],"['KEP06-5012-A4024BNA', 'KEP06-5012-A4024WNA', 'KEP08-5012-A4024BNA', 'KEP08-5012-A4024WNA', 'KEP10-5012-A4024BNA', 'KEP10-5012-A4024WNA', 'KEP12-5012-A4024BNA', 'KEP12-5012-A4024WNA', 'KEP16-5012-A4024BNA', 'KEP16-5012-A4024WNA', 'KEP18-5012-A4024BNA', 'KEP18-5012-A4024WNA', 'KEP22-5012-A4024BNA', 'KEP22-5012-A4024WNA']",[],安裝說明書(隨貨附)
,,,['productPackageDesign'],"['KEP06-5012-A4024BNA', 'KEP06-5012-A4024WNA', 'KEP08-5012-A4024BNA', 'KEP08-5012-A4024WNA', 'KEP10-5012-A4024BNA', 'KEP10-5012-A4024WNA', 'KEP12-5012-A4024BNA', 'KEP12-5012-A4024WNA', 'KEP16-5012-A4024BNA', 'KEP16-5012-A4024WNA', 'KEP18-5012-A4024BNA', 'KEP18-5012-A4024WNA', 'KEP22-5012-A4024BNA', 'KEP22-5012-A4024WNA']",[],產品包裝印刷
,,,['OtherReferenceMaterialOther'],"['00017B02S', '00017B02M']",[],
,,,['fcc'],['PIXIG01'],['US'],
,,,['fcc'],['PIXIG01'],['US'],
,,,['fcc'],['PIXIG01'],['US'],
,,,['complianceOther'],['PIXIG01'],['TW'],NCC
,,,['complianceOther'],['PIXIG01'],['TW'],NCC
,,,['complianceOther'],['PIXIG01'],[],Japan TELEC
,,,['complianceOther'],['PIXIG01'],[],Japan TELEC
,,,['complianceOther'],['PIXIG01'],"['TW', 'US', 'UK']",Battery MSDS
,,,['complianceOther'],['PIXIG01'],"['UK', 'US', 'TW']",Battery UN38.3 report
,,,['umFile'],"['PetUrn10BL', 'PetUrn10P', 'PetUrn10W', 'PetUrn20BL', 'PetUrn20P', 'PetUrn20W', 'PetUrn20BK', 'PetUrn20G']",['US'],產品卡（開罐說明）
,,,['fcc'],"['beseye-pro', 'beseye-pro-1']",['US'],
,,,['OtherReferenceMaterialOther'],"['beseye-pro', 'beseye-pro-1']",['US'],跟Beseye Next的比較圖
,,,['ce'],"['K408-14A', 'K408-14B', 'K408-14C', 'K408-14D']","['UK', 'IT', 'FR', 'DE', 'ES']",
,,,['fcc'],"['K408-14A', 'K408-14B', 'K408-14C', 'K408-14D']",['US'],
,,,['rohs'],"['K408-14A', 'K408-14B', 'K408-14C', 'K408-14D']","['UK', 'IT', 'FR', 'ES']",
,,,['umFile'],"['K408-14A', 'K408-14B', 'K408-14C', 'K408-14D']","['CA', 'US', 'UK']",說明書印刷檔
,,,['umFile'],"['K408-14A', 'K408-14B', 'K408-14C', 'K408-14D']","['UK', 'US', 'CA']",說明書製作檔
,,,['umFile'],"['K408-14A', 'K408-14B', 'K408-14C', 'K408-14D']","['CA', 'US', 'UK']",說明書製作檔
